fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
JIA5519-1778045931-airline-3849p,2026-05-08T12:27:00,2026-05-08T13:08:00Z,41.0,-7.0,0,0,2026-05-08T13:18:04.916211+00:00,OH5519,N725PS,OH,LFT,DFW
JIA5431-1778045931-airline-3758p,2026-05-08T13:29:00,2026-05-08T13:08:00Z,-21.0,-5.0,0,0,2026-05-08T13:19:13.080558+00:00,OH5431,N706PS,OH,CLT,HPN
EDV5309-1778011679-fa-771p,2026-05-08T13:21:00,2026-05-08T13:07:00Z,-14.0,-6.0,0,0,2026-05-08T13:14:20.196110+00:00,9E5309,N924XJ,9E,ATL,CHA
DAL2153-1778040434-fa-14p,2026-05-08T13:27:00,2026-05-08T13:07:00Z,-20.0,-6.0,0,0,2026-05-08T13:14:20.196110+00:00,DL2153,N301DV,DL,ATL,PHL
RPA3422-1778047797-airline-207p,2026-05-08T12:55:00,2026-05-08T13:07:00Z,12.0,-2.0,0,0,2026-05-08T13:22:36.988905+00:00,YX3422,N778YX,YX,SDF,ORD
EDV5410-1777962021-airline-1322p,2026-05-08T03:30:00,2026-05-08T13:06:00Z,576.0,572.0,0,0,2026-05-08T13:14:20.196110+00:00,9E5410,N302PQ,9E,ATL,BMI
ENY3902-1778052015-airline-1495p,2026-05-08T13:18:00,2026-05-08T13:06:00Z,-12.0,-3.0,0,0,2026-05-08T13:18:04.916211+00:00,MQ3902,N247NN,MQ,GRK,DFW
AAL523-1778045931-airline-3523p,2026-05-08T13:05:00,2026-05-08T13:06:00Z,1.0,-7.0,0,0,2026-05-08T13:21:28.380277+00:00,AA523,N738US,AA,ORD,DCA
UAL2213-1778014675-fa-63p,2026-05-08T13:25:00,2026-05-08T13:06:00Z,-19.0,-9.0,0,0,2026-05-08T13:21:28.380277+00:00,UA2213,N14559,UA,ORD,BOS
SKW4953-1778045967-airline-1080p,2026-05-08T13:20:00,2026-05-08T13:06:00Z,-14.0,-7.0,0,0,2026-05-08T13:22:36.988905+00:00,OO4953,N724SK,OO,MKE,ORD
SWA3629-1778043807-airline-2136p,2026-05-08T13:15:00,2026-05-08T13:06:00Z,-9.0,-3.0,0,0,2026-05-08T13:25:17.980815+00:00,WN3629,N8893L,WN,OMA,DEN
DAL1571-1778041295-fa-1358p,2026-05-08T13:10:00,2026-05-08T13:05:00Z,-5.0,-7.0,0,0,2026-05-08T13:14:20.196110+00:00,DL1571,N824DN,DL,ATL,STL
DAL2569-1778040450-fa-307p,2026-05-08T13:24:00,2026-05-08T13:05:00Z,-19.0,0.0,0,0,2026-05-08T13:15:25.749695+00:00,DL2569,N325DN,DL,JAX,ATL
AAL2576-1778049897-airline-244p,2026-05-08T13:18:00,2026-05-08T13:05:00Z,-13.0,-7.0,0,0,2026-05-08T13:19:13.080558+00:00,AA2576,N604AW,AA,CLT,MEM
EDV5458-1778004923-fa-2195p,2026-05-08T13:05:00,2026-05-08T13:05:00Z,0.0,-4.0,0,0,2026-05-08T13:20:18.961253+00:00,9E5458,N935XJ,9E,JFK,CLT
EDV5422-1777998354-fa-2722p,2026-05-08T13:18:00,2026-05-08T13:04:00Z,-14.0,-4.0,0,0,2026-05-08T13:14:20.196110+00:00,9E5422,N200PQ,9E,ATL,AGS
