fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
SWA267-1777957840-airline-1210p,,2026-05-07T17:45:00Z,10.0,8.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL2200-1777954914-fa-1345p,,2026-05-07T17:45:00Z,-4.0,-2.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL2011-1777954119-fa-953p,,2026-05-07T17:45:00Z,19.0,7.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1363-1777954774-fa-2401p,2026-05-07T17:44:00,2026-05-07T17:44:00Z,0.0,-8.0,0,0,2026-05-07T18:15:42.440993+00:00,DL1363,N861DN,DL,PIT,ATL
SWA2288-1777961333-airline-606p,,2026-05-07T17:44:00Z,9.0,18.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL3196-1777954487-fa-920p,,2026-05-07T17:43:00Z,32.0,34.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
EDV5288-1777914573-fa-265p,,2026-05-07T17:43:00Z,-5.0,-6.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL801-1777954835-fa-1821p,,2026-05-07T17:42:00Z,1.0,-1.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
JIA5436-1777959824-airline-508p,,2026-05-07T17:42:00Z,29.0,46.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
SWA2672-1777957840-airline-1212p,2026-05-07T17:20:00,2026-05-07T17:42:00Z,22.0,31.0,0,0,2026-05-07T18:19:35.499352+00:00,WN2672,N8772M,WN,ATL,MDW
DAL862-1777954136-fa-170p,2026-05-07T17:49:00,2026-05-07T17:42:00Z,-7.0,8.0,0,0,2026-05-07T18:19:35.499352+00:00,DL862,N333DX,DL,ATL,BOS
UAL2605-1777927369-fa-851p,2026-05-07T17:35:00,2026-05-07T17:41:00Z,6.0,0.0,0,0,2026-05-07T18:15:42.440993+00:00,UA2605,N76523,UA,ORD,ATL
DAL2380-1777954831-fa-855p,2026-05-07T17:29:00,2026-05-07T17:41:00Z,12.0,6.0,0,0,2026-05-07T18:19:35.499352+00:00,DL2380,N876DN,DL,ATL,JFK
FFT4406-1777958344-airline-481p,2026-05-07T17:20:00,2026-05-07T17:40:00Z,20.0,7.0,0,0,2026-05-07T18:19:35.499352+00:00,F94406,N332FR,F9,ATL,MIA
DAL1029-1777954807-fa-1188p,2026-05-07T17:39:00,2026-05-07T17:39:00Z,0.0,-1.0,0,0,2026-05-07T18:15:42.440993+00:00,DL1029,N952DZ,DL,JFK,ATL
FFT3059-1777960821-airline-956p,2026-05-07T17:34:00,2026-05-07T17:39:00Z,5.0,-1.0,0,0,2026-05-07T18:15:42.440993+00:00,F93059,N370FR,F9,MIA,ATL
DAL3064-1777955153-fa-976p,2026-05-07T17:03:00,2026-05-07T17:39:00Z,36.0,11.0,0,0,2026-05-07T18:15:42.440993+00:00,DL3064,N967AT,DL,TLH,ATL
DAL1656-1777954721-fa-1609p,,2026-05-07T17:39:00Z,15.0,-2.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL444-1777955064-fa-1084p,,2026-05-07T17:39:00Z,34.0,9.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL2976-1777953993-fa-389p,2026-05-07T17:55:00,2026-05-07T17:38:00Z,-17.0,-1.0,0,0,2026-05-07T18:15:42.440993+00:00,DL2976,N111DC,DL,AUS,ATL
DAL1992-1777954831-fa-752p,,2026-05-07T17:38:00Z,3.0,1.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL693-1777955048-fa-1281p,2026-05-07T17:10:00,2026-05-07T17:38:00Z,28.0,13.0,0,0,2026-05-07T18:19:35.499352+00:00,DL693,N822DX,DL,ATL,SFO
DAL1125-1777954518-fa-4598p,,2026-05-07T17:37:00Z,17.0,0.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL539-1777954860-fa-1364p,2026-05-07T17:06:00,2026-05-07T17:37:00Z,31.0,-7.0,0,0,2026-05-07T18:19:35.499352+00:00,DL539,N896DN,DL,ATL,PDX
ASA377-1777957553-airline-31p,,2026-05-07T17:37:00Z,57.0,42.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL897-1777955002-fa-1218p,2026-05-07T18:05:00,2026-05-07T17:36:00Z,-29.0,0.0,0,0,2026-05-07T18:15:42.440993+00:00,DL897,N574DT,DL,SLC,ATL
DAL3096-1777955147-fa-20p,,2026-05-07T17:36:00Z,77.0,86.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL1102-1777954836-fa-636p,2026-05-07T17:20:00,2026-05-07T17:36:00Z,16.0,16.0,0,0,2026-05-07T18:19:35.499352+00:00,DL1102,N920DU,DL,ATL,STL
SKW4097-1777916799-fa-2334p,2026-05-07T17:49:00,2026-05-07T17:35:00Z,-14.0,-2.0,0,0,2026-05-07T18:15:42.440993+00:00,OO4097,N265SY,OO,SBN,ATL
DAL8783-1777954045-fa-844p,,2026-05-07T17:35:00Z,18.0,32.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL2835-1777954743-fa-960p,,2026-05-07T17:34:00Z,-11.0,-7.0,0,0,2026-05-07T18:15:42.440993+00:00,,,,,
DAL993-1777953984-fa-175p,2026-05-07T17:30:00,2026-05-07T17:34:00Z,4.0,-5.0,0,0,2026-05-07T18:15:42.440993+00:00,DL993,N126DN,DL,LGA,ATL
FFT4435-1777960821-airline-1170p,2026-05-07T17:40:00,2026-05-07T17:34:00Z,-6.0,-14.0,0,0,2026-05-07T18:15:42.440993+00:00,F94435,N233FR,F9,TPA,ATL
DAL3035-1777955135-fa-800p,2026-05-07T16:34:00,2026-05-07T17:34:00Z,60.0,50.0,0,0,2026-05-07T18:15:42.440993+00:00,DL3035,N915AT,DL,DAB,ATL
FFT4874-1777960821-airline-1223p,2026-05-07T17:23:00,2026-05-07T17:34:00Z,11.0,-1.0,0,0,2026-05-07T18:19:35.499352+00:00,F94874,N622FR,F9,ATL,FLL
DAL467-1777954335-fa-1287p,2026-05-07T17:48:00,2026-05-07T17:34:00Z,-14.0,-7.0,0,0,2026-05-07T18:19:35.499352+00:00,DL467,N123DW,DL,ATL,LGA
FFT2494-1777963115-airline-1567p,2026-05-07T17:27:00,2026-05-07T17:33:00Z,6.0,37.0,0,0,2026-05-07T18:15:42.440993+00:00,F92494,N720FR,F9,DFW,ATL
DAL1830-1777955081-fa-1531p,,2026-05-07T17:33:00Z,2.0,2.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
DAL2471-1777954934-fa-4624p,2026-05-07T17:36:00,2026-05-07T17:32:00Z,-4.0,9.0,0,0,2026-05-07T18:15:42.440993+00:00,DL2471,N947DZ,DL,MCI,ATL
AAL1816-1777966432-airline-1478p,,2026-05-07T17:32:00Z,2.0,-7.0,0,0,2026-05-07T18:19:35.499352+00:00,,,,,
UAL745-1777939397-fa-1530p,2026-05-07T17:47:00,2026-05-07T17:31:00Z,-16.0,-11.0,0,0,2026-05-07T18:19:35.499352+00:00,UA745,N821UA,UA,ATL,ORD
