iata,state,timezone,iem_network,iem_validated,iem_name,iem_lat,iem_lon
IND,IN,America/Indiana/Indianapolis,IN_ASOS,True,INDIANAPOLIS,39.7084,-86.3048
INL,MN,America/Chicago,MN_ASOS,True,International Falls,48.5595,-93.3956
ISP,NY,America/New_York,NY_ASOS,True,ISLIP/MACARTHUR,40.7939,-73.1017
ITO,HI,Pacific/Honolulu,HI_ASOS,False,,,
JAC,WY,America/Denver,WY_ASOS,True,JACKSON HOLE (AWOS),43.6128,-110.737
JAN,MS,America/Chicago,MS_ASOS,True,JACKSON/THOMPSON,32.32,-90.08
JAX,FL,America/New_York,FL_ASOS,True,Jacksonville Intl,30.4941,-81.6879
JFK,NY,America/New_York,NY_ASOS,True,NEW YORK/JF KENNEDY,40.6386,-73.7622
JLN,MO,America/Chicago,MO_ASOS,True,Joplin,37.1522,-94.4952
JMS,ND,America/Chicago,ND_ASOS,True,JAMESTOWN,46.93,-98.68
JNU,AK,America/Anchorage,AK_ASOS,False,,,
JST,PA,America/New_York,PA_ASOS,True,JOHNSTOWN/CAMBRIA,40.3161,-78.8339
KOA,HI,Pacific/Honolulu,HI_ASOS,False,,,
KTN,AK,America/Anchorage,AK_ASOS,False,,,
LAN,MI,America/New_York,MI_ASOS,True,Lansing,42.78,-84.58
LAR,WY,America/Denver,WY_ASOS,True,LARAMIE/GEN. BREES,41.3121,-105.675
LAS,NV,America/Los_Angeles,NV_ASOS,True,Las Vegas - Harry Reid Intl,36.0719,-115.1634
LAW,OK,America/Chicago,OK_ASOS,True,LAWTON MUNICIPAL,34.5677,-98.4166
LAX,CA,America/Los_Angeles,CA_ASOS,True,LOS ANGELES INTL,33.9382,-118.3865
LBB,TX,America/Chicago,TX_ASOS,True,LUBBOCK INTL ARPT,33.6636,-101.8228
LBE,PA,America/New_York,PA_ASOS,True,LATROBE/WESTMORLAND,40.2759,-79.4048
LBF,NE,America/Chicago,NE_ASOS,True,North Platte,41.1219,-100.669
LBL,KS,America/Chicago,KS_ASOS,True,LIBERAL_MUNI,37.0442,-100.9599
LCH,LA,America/Chicago,LA_ASOS,True,Lake Charles,30.1255,-93.2277
LCK,OH,America/New_York,OH_ASOS,True,RICKENBACKER ANG,39.8138,-82.9278
LEX,KY,America/New_York,KY_ASOS,True,LEXINGTON/BLUEGRASS,38.0408,-84.6058
LFT,LA,America/Chicago,LA_ASOS,True,Lafayette,30.1986,-91.9896
LGA,NY,America/New_York,NY_ASOS,True,New York/LaGuardia,40.7794,-73.8803
LGB,CA,America/Los_Angeles,CA_ASOS,True,LONG BEACH AIRPORT,33.8118,-118.1472
LIH,HI,Pacific/Honolulu,HI_ASOS,False,,,
LIT,AR,America/Chicago,AR_ASOS,True,LITTLE ROCK/ADAMS,34.7273,-92.2357
LNK,NE,America/Chicago,NE_ASOS,True,Lincoln,40.8312,-96.7633
LRD,TX,America/Chicago,TX_ASOS,True,LAREDO INTL AIRPORT,27.5438,-99.4615
LSE,WI,America/Chicago,WI_ASOS,True,La Crosse,43.8792,-91.253
LWS,ID,America/Boise,ID_ASOS,True,Lewiston,46.3745,-117.0154
MAF,TX,America/Chicago,TX_ASOS,True,Midland Intl,31.9466,-102.2075
MBS,MI,America/New_York,MI_ASOS,True,SAGINAW,43.53,-84.08
MCI,MO,America/Chicago,MO_ASOS,True,KANSAS CITY/INTL,39.2976,-94.7139
MCO,FL,America/New_York,FL_ASOS,True,Orlando International,28.4294,-81.309
MCW,IA,America/Chicago,IA_ASOS,True,MASON CITY,43.1544,-93.3261
MDT,PA,America/New_York,PA_ASOS,True,MIDDLETOWN/OLMSTED,40.1936,-76.7633
MDW,IL,America/Chicago,IL_ASOS,True,CHICAGO,41.786,-87.7524
